_id,url,distance_from_root,root_url,parent_url
ObjectId(5c9c45941c1f826e140d8f62),https://gujarate.ga/verty/Outlook%20Web%20App.html,0,https://gujarate.ga/verty/Outlook%20Web%20App.html,None
ObjectId(5c9c459e1c1f826e140d8f64),http://servion15.se/roct/phpFiles/loginContinue4.php,0,http://servion15.se/roct/phpFiles/loginContinue4.php,None
ObjectId(5c9c459f1c1f826e140d8f66),http://perfect-money.club/money/1318587,0,http://perfect-money.club/money/1318587,None
ObjectId(5c9c45a11c1f826e140d8f68),http://bectckange.xyz/,0,http://bectckange.xyz/,None
ObjectId(5c9c45a21c1f826e140d8f6a),http://sedanepal.org.np/css/barm/verification.php,0,http://sedanepal.org.np/css/barm/verification.php,None
ObjectId(5c9c45a31c1f826e140d8f6c),http://southernhots.com/hbb,0,http://southernhots.com/hbb,None
ObjectId(5c9c45bc1c1f826e140d8f6e),http://theswanson.net/directing/www2.scotiaonline.scotiabank.com/online/authentication/confirm.php,0,http://theswanson.net/directing/www2.scotiaonline.scotiabank.com/online/authentication/confirm.php,None
ObjectId(5c9c45e41c1f826e140d8f70),http://sfvsabhw.pl/Bin-cgi/pdf/ayo1/ayo1/index.html,0,http://sfvsabhw.pl/Bin-cgi/pdf/ayo1/ayo1/index.html,None
ObjectId(5c9c45e51c1f826e140d8f72),http://www.oakforestchurchofchrist.com/folder/chase/Online/Chase/chaseonline/chaseonline/chaseonline/chaseonline/index.html,0,http://www.oakforestchurchofchrist.com/folder/chase/Online/Chase/chaseonline/chaseonline/chaseonline/chaseonline/index.html,None
ObjectId(5c9c45ea1c1f826e140d8f74),https://secure.arturitoperu.com/,0,https://secure.arturitoperu.com/,None
ObjectId(5c9c45eb1c1f826e140d8f76),https://zonabetasegurabcp.com/entrar/sesion-terminada.php,0,https://zonabetasegurabcp.com/entrar/sesion-terminada.php,None
ObjectId(5c9c45ed1c1f826e140d8f78),http://erniont.beget.tech,0,http://erniont.beget.tech,None
ObjectId(5c9c45ef1c1f826e140d8f7a),https://prostatecancerpatients.org/logs/signin/acc/home/sec2/sec2.php,0,https://prostatecancerpatients.org/logs/signin/acc/home/sec2/sec2.php,None
ObjectId(5c9c45f01c1f826e140d8f7c),http://www.mariovenuti.com/new/roct/phpFiles/loginContinue4.php,0,http://www.mariovenuti.com/new/roct/phpFiles/loginContinue4.php,None
ObjectId(5c9c46421c1f826e140d8f7e),https://www.wvw.banorte.com.wsp178portal548ww.banorte.com.kopibiru.com,0,https://www.wvw.banorte.com.wsp178portal548ww.banorte.com.kopibiru.com,None
ObjectId(5c9c46a31c1f826e140d8f80),https://it-creval.info/,0,https://it-creval.info/,None
ObjectId(5c9c46a51c1f826e140d8f82),https://sites.google.com/view/safety-bdn4576y/,0,https://sites.google.com/view/safety-bdn4576y/,None
ObjectId(5c9c46a71c1f826e140d8f84),https://bradshaw3.com/brad/,0,https://bradshaw3.com/brad/,None
ObjectId(5c9c46b21c1f826e140d8f86),https://www.magazineluiza.digital/magazine/,0,https://www.magazineluiza.digital/magazine/,None
ObjectId(5c9c46b41c1f826e140d8f88),http://magazinepromocoes.com/identificacao?id=5,0,http://magazinepromocoes.com/identificacao?id=5,None
ObjectId(5c9c46b51c1f826e140d8f8a),http://semprevclublug.com/produtos-loja.php?linkcompleto=conjunto-de-panelas-tramontina-aluminio-antiaderente-10-pecas-turim/p/2130109/ud/udpl/&amp;id=34,0,http://semprevclublug.com/produtos-loja.php?linkcompleto=conjunto-de-panelas-tramontina-aluminio-antiaderente-10-pecas-turim/p/2130109/ud/udpl/&amp;id=34,None
ObjectId(5c9c46b71c1f826e140d8f8c),http://magalulu.com/produtos-loja.php?linkcompleto=smart-tv-led-32-samsung-un32j4300-conversor-digital-wi-fi-2-hdmi-1-usb/p/1933657/et/elit/&amp;id=13,0,http://magalulu.com/produtos-loja.php?linkcompleto=smart-tv-led-32-samsung-un32j4300-conversor-digital-wi-fi-2-hdmi-1-usb/p/1933657/et/elit/&amp;id=13,None
ObjectId(5c9c46c11c1f826e140d8f8e),https://financeiroempresarial.online/,0,https://financeiroempresarial.online/,None
ObjectId(5c9c46c31c1f826e140d8f90),http://otolaser.com.co/layouts/joomla/searchtools/default/index.htm,0,http://otolaser.com.co/layouts/joomla/searchtools/default/index.htm,None
ObjectId(5c9c46cf1c1f826e140d8f92),https://sites.google.com/site/fbihelpprivacy/,0,https://sites.google.com/site/fbihelpprivacy/,None
ObjectId(5c9c46fc1c1f826e140d8f94),http://besfchanqe.org.ru/,0,http://besfchanqe.org.ru/,None
ObjectId(5c9c47031c1f826e140d8f96),http://www.frezalazer.ru/modules/eurovatgenerator/translations/index.htm,0,http://www.frezalazer.ru/modules/eurovatgenerator/translations/index.htm,None
ObjectId(5c9c475e1c1f826e140d8f98),http://poradnik.spero.org.pl/paypal/signin/,0,http://poradnik.spero.org.pl/paypal/signin/,None
ObjectId(5c9c47601c1f826e140d8f9a),http://bcpzonasegura.grupoloa.net/bcp/iniciar-sesion/,0,http://bcpzonasegura.grupoloa.net/bcp/iniciar-sesion/,None
ObjectId(5c9c47631c1f826e140d8f9c),https://www.semanalmente48horas-desconto.com/index.php?produto=623151580,0,https://www.semanalmente48horas-desconto.com/index.php?produto=623151580,None
ObjectId(5c9c47651c1f826e140d8f9e),https://fridaiturim.com/index.php?produto=495610239,0,https://fridaiturim.com/index.php?produto=495610239,None
ObjectId(5c9c47691c1f826e140d8fa0),https://dialet.ru/catalog/Sites/all/themes/elegantica/images/myaccount/signin/?country.x=US&locale.x=en_US,0,https://dialet.ru/catalog/Sites/all/themes/elegantica/images/myaccount/signin/?country.x=US&locale.x=en_US,None
ObjectId(5c9c476f1c1f826e140d8fa2),https://sites.google.com/site/apcrimpges/,0,https://sites.google.com/site/apcrimpges/,None
ObjectId(5c9c47761c1f826e140d8fa4),https://apzcrs.000webhostapp.com/apcres.htm,0,https://apzcrs.000webhostapp.com/apcres.htm,None
ObjectId(5c9c48161c1f826e140d8fa6),https://govuk-dvla-refunds.com/,0,https://govuk-dvla-refunds.com/,None
ObjectId(5c9c48191c1f826e140d8fa8),http://www.nossoamorporcozinhaemaior.com/index.php?produto=961430556,0,http://www.nossoamorporcozinhaemaior.com/index.php?produto=961430556,None
ObjectId(5c9c48191c1f826e140d8faa),https://quartscarnval.com/index.php?produto=892122062,0,https://quartscarnval.com/index.php?produto=892122062,None
ObjectId(5c9c48721c1f826e140d8fac),https://www.paypalcustomer.com.support.confirm.dns.army/Summarys/customer_center/customer-IDPP00C211/myaccount/signin/,0,https://www.paypalcustomer.com.support.confirm.dns.army/Summarys/customer_center/customer-IDPP00C211/myaccount/signin/,None
ObjectId(5c9c48cb1c1f826e140d8fae),https://www.paypalcustomer.com.support.confirm.dns.army/Summarys/customer_center/customer-IDPP00C913/myaccount/signin/?country.x=US&locale.x=en_US,0,https://www.paypalcustomer.com.support.confirm.dns.army/Summarys/customer_center/customer-IDPP00C913/myaccount/signin/?country.x=US&locale.x=en_US,None
ObjectId(5c9c49231c1f826e140d8fb0),https://www.paypalcustomer.com.support.confirm.dns.army/Summarys/customer_center/customer-IDPP00C231/myaccount/signin/?country.x=US&locale.x=en_US,0,https://www.paypalcustomer.com.support.confirm.dns.army/Summarys/customer_center/customer-IDPP00C231/myaccount/signin/?country.x=US&locale.x=en_US,None
ObjectId(5c9c49701c1f826e140d8fb2),https://www.paypalcustomer.com.support.confirm.dns.army/renews.php,0,https://www.paypalcustomer.com.support.confirm.dns.army/renews.php,None
